video_id,category,method,tp,fp,fn,precision,recall,f1
Ad01,Ad,PySceneDetect,10,8,7,0.555556,0.588235,0.571429
Ad01,Ad,TransNetV2,10,8,7,0.555556,0.588235,0.571429
Ad02,Ad,PySceneDetect,8,5,5,0.615385,0.615385,0.615385
Ad02,Ad,TransNetV2,8,6,5,0.571429,0.615385,0.592593
Ad03,Ad,PySceneDetect,13,9,8,0.590909,0.619048,0.604651
Ad03,Ad,TransNetV2,16,8,5,0.666667,0.761905,0.711111
Ad04,Ad,PySceneDetect,11,3,4,0.785714,0.733333,0.758621
Ad04,Ad,TransNetV2,11,4,4,0.733333,0.733333,0.733333
Ad05,Ad,PySceneDetect,19,5,9,0.791667,0.678571,0.730769
Ad05,Ad,TransNetV2,21,8,7,0.724138,0.750000,0.736842
Ad06,Ad,PySceneDetect,13,7,6,0.650000,0.684211,0.666667
Ad06,Ad,TransNetV2,13,7,6,0.650000,0.684211,0.666667
Ad07,Ad,PySceneDetect,15,8,8,0.652174,0.652174,0.652174
Ad07,Ad,TransNetV2,15,9,8,0.625000,0.652174,0.638298
Ad08,Ad,PySceneDetect,15,9,17,0.625000,0.468750,0.535714
Ad08,Ad,TransNetV2,17,8,15,0.680000,0.531250,0.596491
Ad09,Ad,PySceneDetect,13,1,0,0.928571,1.000000,0.962963
Ad09,Ad,TransNetV2,13,1,0,0.928571,1.000000,0.962963
Ad10,Ad,PySceneDetect,16,1,4,0.941176,0.800000,0.864865
Ad10,Ad,TransNetV2,17,1,3,0.944444,0.850000,0.894737
Ad11,Ad,PySceneDetect,27,1,3,0.964286,0.900000,0.931034
Ad11,Ad,TransNetV2,27,1,3,0.964286,0.900000,0.931034
Ad12,Ad,PySceneDetect,13,1,13,0.928571,0.500000,0.650000
Ad12,Ad,TransNetV2,15,1,11,0.937500,0.576923,0.714286
Ad13,Ad,PySceneDetect,19,2,19,0.904762,0.500000,0.644068
Ad13,Ad,TransNetV2,23,1,15,0.958333,0.605263,0.741935
Carton01,Carton,PySceneDetect,16,1,1,0.941176,0.941176,0.941176
Carton01,Carton,TransNetV2,17,1,0,0.944444,1.000000,0.971429
Carton02,Carton,PySceneDetect,36,2,35,0.947368,0.507042,0.660550
Carton02,Carton,TransNetV2,43,1,28,0.977273,0.605634,0.747826
Carton03,Carton,PySceneDetect,0,0,1,0.000000,0.000000,0.000000
Carton03,Carton,TransNetV2,1,1,0,0.500000,1.000000,0.666667
Carton04,Carton,PySceneDetect,10,2,6,0.833333,0.625000,0.714286
Carton04,Carton,TransNetV2,10,1,6,0.909091,0.625000,0.740741
Carton05,Carton,PySceneDetect,8,3,2,0.727273,0.800000,0.761905
Carton05,Carton,TransNetV2,8,1,2,0.888889,0.800000,0.842105
Carton06,Carton,PySceneDetect,21,4,1,0.840000,0.954545,0.893617
Carton06,Carton,TransNetV2,22,1,0,0.956522,1.000000,0.977778
Carton07,Carton,PySceneDetect,29,2,19,0.935484,0.604167,0.734177
Carton07,Carton,TransNetV2,31,0,17,1.000000,0.645833,0.784810
Carton08,Carton,PySceneDetect,8,2,1,0.800000,0.888889,0.842105
Carton08,Carton,TransNetV2,8,1,1,0.888889,0.888889,0.888889
Carton09,Carton,PySceneDetect,10,1,3,0.909091,0.769231,0.833333
Carton09,Carton,TransNetV2,10,1,3,0.909091,0.769231,0.833333
Carton10,Carton,PySceneDetect,12,2,8,0.857143,0.600000,0.705882
Carton10,Carton,TransNetV2,14,1,6,0.933333,0.700000,0.800000
Carton11,Carton,PySceneDetect,16,5,3,0.761905,0.842105,0.800000
Carton11,Carton,TransNetV2,16,2,3,0.888889,0.842105,0.864865
Carton12,Carton,PySceneDetect,25,2,1,0.925926,0.961538,0.943396
Carton12,Carton,TransNetV2,25,2,1,0.925926,0.961538,0.943396
Carton13,Carton,PySceneDetect,36,13,7,0.734694,0.837209,0.782609
Carton13,Carton,TransNetV2,37,5,6,0.880952,0.860465,0.870588
